query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000166893006,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9695775927593214,"add_into_favorite_goods(app, search_info_slot)",0.967833838488805,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9613658917431305,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9585609165978479,"add_into_favorite_stores(app, search_info_slot)",0.940059840572184,"open_customer_service(app, order_slot, store_slot)",0.9362537646152316,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9333192721265304,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9328569367245603,"open_orders_bought(app, order_status, filter_detail_slot)",0.9227350519303081
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9680429434742771,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9644069242477417,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9053738053489145,"add_into_favorite_goods(app, search_info_slot)",0.902244726922465,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8942179955419582,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.892961371003886,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8884337979712637,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8723866626817501,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8723791999236408,"add_into_favorite_stores(app, search_info_slot)",0.8718613497325411
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9556756191003724,"open_goods_page(app, search_info_slot, page_type)",0.9425889257048341,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9138957864263375,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9044445919990539,"add_into_favorite_goods(app, search_info_slot)",0.8815176057677712,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8636556295275506,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8621683217974702,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.848128512545032,"open_customer_service(app, order_slot, store_slot)",0.8382032789005441,"add_into_favorite_stores(app, search_info_slot)",0.8368642474763929
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9567474702721666,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8868207064234686,"add_into_favorite_goods(app, search_info_slot)",0.8678370177893477,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8643179537541685,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.855578334523001,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8529193766491573,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8517680718099281,open_camera_search(app),0.8464191301035284,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08,"open_orders_bought(app, order_status, filter_detail_slot)",0.02080795686367569
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9926376537053625,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9288060235977172,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9281487106814792,"add_into_favorite_goods(app, search_info_slot)",0.9264014050803345,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9223601729354003,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9091267475413335,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.907274507837346,"add_into_favorite_stores(app, search_info_slot)",0.9004123021406937,"open_orders_bought(app, order_status, filter_detail_slot)",0.896695127934061,open_search_history(app),0.8933380442372807
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9363659881744452,"open_logistics_receive(app, filter_type)",0.8416190227402441,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8171564268865209,"call_order_courier(app, search_info_slot)",0.7956945756414305,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7921626494492379,"open_orders_bought(app, order_status, filter_detail_slot)",0.7856607387830638,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7691388378555483,"open_order_tracking_number(app, search_info_slot)",0.7608911455854936,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.754890560031445,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9668334008507833,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8947302893079198,"add_into_favorite_goods(app, search_info_slot)",0.8922095050723756,"open_cart_content(app, filter_type, filter_detail_slot)",0.8879074988525874,"search_cart_content(app, search_info_slot)",0.8779042068654982,"open_goods_page(app, search_info_slot, page_type)",0.8627642733780366,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8620791368663882,"open_customer_service(app, order_slot, store_slot)",0.8503255919343456,open_camera_search(app),0.8444779612841877,"add_into_favorite_stores(app, search_info_slot)",0.8419246917862212
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9668334008507832,"add_into_favorite_goods(app, search_info_slot)",0.924078499308368,"open_cart_content(app, filter_type, filter_detail_slot)",0.9213373003166682,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9194397524274266,"open_goods_page(app, search_info_slot, page_type)",0.9102444393364412,"search_cart_content(app, search_info_slot)",0.9039488736326186,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8974605136097048,open_camera_search(app),0.8757571675601277,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08,"manage_order_logistics_status(app, search_info_slot, action_type)",0.047462569202711906
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.995881602133588,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9081019409355358,"open_cart_content(app, filter_type, filter_detail_slot)",0.9036786043543753,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8886269194854111,"add_into_favorite_goods(app, search_info_slot)",0.8779516957849095,"search_cart_content(app, search_info_slot)",0.8715826467412208,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8573831703837137,"open_goods_page(app, search_info_slot, page_type)",0.8573398679747126,"add_into_favorite_stores(app, search_info_slot)",0.8404761301318389,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9729382683563764,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9267826281565029,"add_into_favorite_goods(app, search_info_slot)",0.9035321858673544,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9024907517433166,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8860203054261162,"open_cart_content(app, filter_type, filter_detail_slot)",0.8779269122588514,"open_goods_page(app, search_info_slot, page_type)",0.8772019419452116,"add_into_favorite_stores(app, search_info_slot)",0.8681973584998033,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8679672494108491,"search_cart_content(app, search_info_slot)",0.8636595787704372
